WBS,W15,S15,W16,S16,W17,S17,W18,S18,W19,S19,W20,S20
02C.04.01,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-96"",""DLP-96"")",,,,,,,,
02C.04.01,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-94"",""DLP-94"")",,,,,,,,
02C.04.01,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-84"",""DLP-84"")",,,,,,,,
02C.04.01,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-92"",""DLP-92"")",,,,,,,,
02C.04.02,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-177"",""DLP-177"")",,,,,,,,
02C.04.02,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-175"",""DLP-175"")",,,,,,,,
02C.04.02,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-173"",""DLP-173"")",,,,,,,,
02C.04.02,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-181"",""DLP-181"")",,,,,,
02C.04.02,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-179"",""DLP-179"")",,,,,,
02C.04.02,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-187"",""DLP-187"")",,,,
02C.04.02,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-183"",""DLP-183"")",,,,
02C.04.02,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-185"",""DLP-185"")",,,,
02C.04.02,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-196"",""DLP-196"")",,
02C.04.02,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-195"",""DLP-195"")",,
02C.04.02,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-193"",""DLP-193"")",,
02C.04.02,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-189"",""DLP-189"")",,
02C.04.02,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-191"",""DLP-191"")",,
02C.04.03,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-75"",""DLP-75"")",,,,,,,,,,
02C.04.03,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-77"",""DLP-77"")",,,,,,,,,
02C.04.03,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-82"",""DLP-82"")",,,,,,
02C.04.03,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-80"",""DLP-80"")",,,,,,
02C.04.03,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-86"",""DLP-86"")",,,,,
02C.04.03,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-88"",""DLP-88"")",,,,
02C.04.03,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-90"",""DLP-90"")",,
02C.04.04,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-162"",""DLP-162"")",,,,,,,,
02C.04.04,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-154"",""DLP-154"")",,,,,,,,
02C.04.04,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-158"",""DLP-158"")",,,,,,,,
02C.04.04,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-152"",""DLP-152"")",,,,,,,,
02C.04.04,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-169"",""DLP-169"")",,,,,,,
02C.04.04,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-171"",""DLP-171"")",,,,,,
02C.04.04,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-160"",""DLP-160"")",,,,,,
02C.04.04,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-164"",""DLP-164"")",,,,,,
02C.04.04,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-167"",""DLP-167"")",,,,,,
02C.04.04,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-165"",""DLP-165"")",,,,,
02C.04.05,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-101"",""DLP-101"")",,,,,,,,,
02C.04.05,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-98"",""DLP-98"")",,,,,,,,,
02C.04.05,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-103"",""DLP-103"")",,,,,,,,
02C.04.05,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-100"",""DLP-100"")",,,,,,,,
02C.04.05,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-105"",""DLP-105"")",,,,
02C.04.05,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-108"",""DLP-108"")",,,
02C.04.05,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-110"",""DLP-110"")",,
02C.04.05,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-111"",""DLP-111"")",,
02C.04.05,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-113"",""DLP-113"")",,
02C.04.05,,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-115"",""DLP-115"")",
02C.04.05,,,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-117"",""DLP-117"")"
02C.04.06,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-123"",""DLP-123"")",,,,,,,,,,
02C.04.06,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-121"",""DLP-121"")",,,,,,,,,,
02C.04.06,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-119"",""DLP-119"")",,,,,,,,,,
02C.04.06,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-125"",""DLP-125"")",,,,,,,,,
02C.04.06,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-126"",""DLP-126"")",,,,,,,,,
02C.04.06,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-137"",""DLP-137"")",,,,,,,,
02C.04.06,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-140"",""DLP-140"")",,,,,,,,
02C.04.06,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-135"",""DLP-135"")",,,,,,,,
02C.04.06,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-129"",""DLP-129"")",,,,,,,,
02C.04.06,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-143"",""DLP-143"")",,,,,,,
02C.04.06,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-130"",""DLP-130"")",,,,,,,
02C.04.06,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-146"",""DLP-146"")",,,,,,
02C.04.06,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-148"",""DLP-148"")",,,,,,
02C.04.06,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-150"",""DLP-150"")",,,,
02C.04.06,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-134"",""DLP-134"")",,,,
02C.04.06,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-141"",""DLP-141"")",,,,
02C.04.06,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-133"",""DLP-133"")",,,,
02C.08.03.01,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-43"",""DLP-43"")",,,,,,,,,,,
02C.08.03.01,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-42"",""DLP-42"")",,,,,,,,,,
02C.08.03.01,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-63"",""DLP-63"")",,,,,,,,,
02C.08.03.01,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-45"",""DLP-45"")",,,,,,,,,
02C.08.03.01,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-61"",""DLP-61"")",,,,,,,,
02C.08.03.01,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-44"",""DLP-44"")",,,,,,,
02C.08.03.01,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-46"",""DLP-46"")",,,
02C.08.03.02,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-69"",""DLP-69"")",,,,,,,
02C.08.03.02,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-70"",""DLP-70"")",,,,,,,
02C.08.03.02,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-36"",""DLP-36"")",,,,,
02C.08.03.02,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-33"",""DLP-33"")",,,,,
02C.08.03.04,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-41"",""DLP-41"")",,,,,,,,,,
02C.08.03.04,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-37"",""DLP-37"")",,,,,,,,,
02C.08.03.04,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-40"",""DLP-40"")",,,,,,,,,
02C.08.03.04,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-67"",""DLP-67"")",,,,,,,,
02C.08.03.04,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-57"",""DLP-57"")",,,,,,,
02C.08.03.04,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-65"",""DLP-65"")",,,,,,
02C.08.03.04,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-38"",""DLP-38"")",,,,,
02C.08.03.04,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-39"",""DLP-39"")",,,
None,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-25"",""DLP-25"")",,,,,,,,,,
None,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-21"",""DLP-21"")",,,,,,,,
None,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-9"",""DLP-9"")",,,,,,,,
None,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-10"",""DLP-10"")",,,,,,,
None,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-8"",""DLP-8"")",,,,,,,
None,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-4"",""DLP-4"")",,,,,,,
None,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-13"",""DLP-13"")",,,,,
None,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-23"",""DLP-23"")",,,,
None,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-26"",""DLP-26"")",,,,
None,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-27"",""DLP-27"")",,,,
None,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-19"",""DLP-19"")",,,,
None,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-14"",""DLP-14"")",,,,
None,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-11"",""DLP-11"")",,,,
